"행정구역","2024년12월_계_총인구수","2024년12월_계_연령구간인구수","2024년12월_계_0~9세","2024년12월_계_10~19세","2024년12월_계_20~29세","2024년12월_계_30~39세","2024년12월_계_40~49세","2024년12월_계_50~59세","2024년12월_계_60~69세","2024년12월_계_70~79세","2024년12월_계_80~89세","2024년12월_계_90~99세","2024년12월_계_100세 이상"
"서울특별시 도봉구 방학제3동(1132071000)","25,833","25,833","1,354","2,491","2,650","2,795","3,600","4,379","4,823","2,387","1,107","238","9"
"서울특별시 노원구 (1135000000)","491,247","491,247","24,492","45,416","64,147","60,798","71,901","85,830","73,322","41,842","20,282","3,121","96"
"서울특별시 노원구 월계1동(1135056000)","20,318","20,318","811","1,461","3,541","2,335","2,716","3,284","3,089","2,038","933","106","4"
"서울특별시 노원구 월계2동(1135057000)","25,179","25,179","1,263","1,834","2,613","2,772","3,613","4,281","4,471","2,846","1,256","222","8"
"서울특별시 노원구 월계3동(1135058000)","28,257","28,257","1,599","1,806","3,003","4,240","3,998","4,482","4,568","2,967","1,384","205","5"
"서울특별시 노원구 공릉1동(1135059500)","35,551","35,551","1,298","2,354","6,606","4,853","4,783","5,428","5,453","3,197","1,388","182","9"
"서울특별시 노원구 공릉2동(1135060000)","41,322","41,322","2,738","4,050","6,848","5,515","6,370","6,475","5,232","2,723","1,197","172","2"
"서울특별시 노원구 하계1동(1135061100)","25,747","25,747","811","2,656","4,580","2,608","3,074","4,745","3,960","2,081","1,049","175","8"
"서울특별시 노원구 하계2동(1135061200)","20,868","20,868","1,135","2,376","2,436","2,426","3,291","3,782","2,973","1,523","809","117","0"
"서울특별시 노원구 중계본동(1135061900)","22,606","22,606","1,083","4,119","2,824","1,646","4,065","4,579","2,606","1,034","553","95","2"
"서울특별시 노원구 중계1동(1135062100)","26,153","26,153","1,638","5,174","2,648","1,798","5,608","4,957","2,569","1,095","572","91","3"
"서울특별시 노원구 중계4동(1135062400)","18,863","18,863","817","1,874","2,174","1,767","2,708","3,647","2,807","1,927","984","155","3"
"서울특별시 노원구 중계2.3동(1135062500)","31,733","31,733","1,387","2,482","3,464","3,900","4,424","5,503","4,976","3,420","1,881","291","5"
"서울특별시 노원구 상계1동(1135063000)","36,418","36,418","1,649","2,817","4,366","4,336","4,835","6,607","6,539","3,440","1,597","226","6"
"서울특별시 노원구 상계2동(1135064000)","18,837","18,837","619","1,508","2,770","2,148","2,394","3,656","3,202","1,622","787","126","5"
"서울특별시 노원구 상계3.4동(1135066500)","27,152","27,152","1,344","2,056","2,992","2,778","3,672","4,984","4,743","2,887","1,530","159","7"
"서울특별시 노원구 상계5동(1135067000)","22,578","22,578","741","1,601","2,730","2,580","2,802","4,305","3,951","2,398","1,265","196","9"
"서울특별시 노원구 상계6.7동(1135069500)","31,000","31,000","1,720","2,500","3,879","4,831","4,527","5,449","4,419","2,303","1,132","233","7"
"서울특별시 노원구 상계8동(1135070000)","21,533","21,533","1,801","1,656","2,245","4,800","3,465","3,071","2,335","1,402","637","118","3"
"서울특별시 노원구 상계9동(1135071000)","19,223","19,223","928","1,629","2,279","2,635","2,817","3,487","2,857","1,669","768","150","4"
"서울특별시 노원구 상계10동(1135072000)","17,909","17,909","1,110","1,463","2,149","2,830","2,739","3,108","2,572","1,270","560","102","6"
"서울특별시 은평구 (1138000000)","460,919","460,919","22,056","34,299","59,286","66,321","67,227","77,598","69,457","41,465","20,583","2,558","69"
"서울특별시 은평구 녹번동(1138051000)","35,578","35,578","1,882","2,069","4,271","5,555","5,217","5,784","5,448","3,426","1,705","218","3"
"서울특별시 은평구 불광제1동(1138052000)","37,311","37,311","1,662","2,295","4,678","5,402","5,048","6,315","6,113","3,562","1,966","265","5"
"서울특별시 은평구 불광제2동(1138053000)","26,566","26,566","724","1,364","3,663","3,803","3,304","4,566","4,655","2,865","1,473","145","4"
