,구분,위치(구역명),운동기구 기종명,운동기구 수량,관리번호,관리기관
189,남산공원(장충),족구장 옆,역기,1,장충자락-4(족구장 옆)-1,중부공원녹지사업소
190,남산공원(장충),족구장 옆,오금펴기,1,장충자락-4(족구장 옆)-2,중부공원녹지사업소
191,남산공원(장충),족구장 옆,역기올리기,1,장충자락-4(족구장 옆)-3,중부공원녹지사업소
192,남산공원(장충),족구장 옆,허리돌리기,1,장충자락-4(족구장 옆)-4,중부공원녹지사업소
193,남산공원(장충),1호터널 옆,공중걷기,1,장충자락-5(1호터널 옆)-1,중부공원녹지사업소
194,남산공원(장충),1호터널 옆,역기올리기,1,장충자락-5(1호터널 옆)-2,중부공원녹지사업소
195,남산공원(장충),1호터널 옆,허리돌리기,1,장충자락-5(1호터널 옆)-3,중부공원녹지사업소
196,낙산공원,중앙계단위,하체흔들기,1,낙산공원-1(중앙계단 위)-1,중부공원녹지사업소
197,낙산공원,중앙계단위,온몸노젖기,1,낙산공원-1(중앙계단 위)-2,중부공원녹지사업소
198,낙산공원,중앙계단위,어깨근육풀기,1,낙산공원-1(중앙계단 위)-3,중부공원녹지사업소
199,낙산공원,중앙계단위,마라톤운동,1,낙산공원-1(중앙계단 위)-4,중부공원녹지사업소
200,낙산공원,중앙계단위,매달려온몸회전하기,1,낙산공원-1(중앙계단 위)-5,중부공원녹지사업소
201,낙산공원,중앙계단위,허리돌리기,1,낙산공원-1(중앙계단 위)-6,중부공원녹지사업소
202,낙산공원,정상 암문 앞,하이폴리머신,1,낙산공원-2(정상앞문 앞)-1,중부공원녹지사업소
203,낙산공원,정상 암문 앞,레그익스텐션,1,낙산공원-2(정상앞문 앞)-2,중부공원녹지사업소
204,낙산공원,정상 암문 앞,버터플라이머신,1,낙산공원-2(정상앞문 앞)-3,중부공원녹지사업소
205,낙산공원,정상 암문 앞,어깨근육풀기,1,낙산공원-2(정상앞문 앞)-4,중부공원녹지사업소
206,낙산공원,정상 암문 앞,하늘걷기,1,낙산공원-2(정상앞문 앞)-5,중부공원녹지사업소
207,낙산공원,정상 암문 앞,허리돌리기,1,낙산공원-2(정상앞문 앞)-6,중부공원녹지사업소
208,낙산공원,제3광장 앞,옆파도타기,1,낙산공원-3(제3광장 앞)-1,중부공원녹지사업소
209,낙산공원,제3광장 앞,달리기운동,1,낙산공원-3(제3광장 앞)-2,중부공원녹지사업소
210,낙산공원,제3광장 앞,어깨근육풀기,1,낙산공원-3(제3광장 앞)-3,중부공원녹지사업소
211,낙산공원,제3광장 앞,허리돌리기,1,낙산공원-3(제3광장 앞)-4,중부공원녹지사업소
212,낙산공원,제3광장 앞,거꾸로매달리기,1,낙산공원-3(제3광장 앞)-5,중부공원녹지사업소
213,낙산공원,제3광장 앞,마라톤운동,1,낙산공원-3(제3광장 앞)-6,중부공원녹지사업소
214,낙산공원,제3광장 앞,온몸노젖기,1,낙산공원-3(제3광장 앞)-7,중부공원녹지사업소
215,낙산공원,제3광장 앞,양팔중당기기,1,낙산공원-3(제3광장 앞)-8,중부공원녹지사업소
216,낙산공원,제3광장 앞,온몸근육풀기,1,낙산공원-3(제3광장 앞)-9,중부공원녹지사업소
217,낙산공원,제3광장 앞,매달려온몸회전하기,1,낙산공원-3(제3광장 앞)-10,중부공원녹지사업소
218,낙산공원,장수마을,온몸근육풀기,1,낙산공원-4(장수마을)-1,중부공원녹지사업소
219,낙산공원,장수마을,파도타기,1,낙산공원-4(장수마을)-2,중부공원녹지사업소
220,낙산공원,장수마을,허리돌리기,1,낙산공원-4(장수마을)-3,중부공원녹지사업소
221,낙산공원,장수마을,로라마사지머신,1,낙산공원-4(장수마을)-4,중부공원녹지사업소
222,낙산공원,낙산정 위,온몸역기돌리기,1,낙산공원-5(낙산정 위)-1,중부공원녹지사업소
223,낙산공원,낙산정 위,온몸허리돌리기,1,낙산공원-5(낙산정 위)-2,중부공원녹지사업소
224,낙산공원,농구장 입구,레그스트레치머신,1,낙산공원-6(농구장 입구)-1,중부공원녹지사업소
225,낙산공원,농구장 입구,친업머신,1,낙산공원-6(농구장 입구)-2,중부공원녹지사업소
226,낙산공원,농구장 입구,어깨근육풀기,1,낙산공원-6(농구장 입구)-3,중부공원녹지사업소
